EAR_f0,EAR_f1,EAR_f2,EAR_f3,EAR_f4,EAR_f5,EAR_f6,EAR_f7,EAR_f8,EAR_f9,EAR_f10,EAR_f11,EAR_f12,EAR_f13,EAR_f14,MAR_f0,MAR_f1,MAR_f2,MAR_f3,MAR_f4,MAR_f5,MAR_f6,MAR_f7,MAR_f8,MAR_f9,MAR_f10,MAR_f11,MAR_f12,MAR_f13,MAR_f14,Pitch_f0,Pitch_f1,Pitch_f2,Pitch_f3,Pitch_f4,Pitch_f5,Pitch_f6,Pitch_f7,Pitch_f8,Pitch_f9,Pitch_f10,Pitch_f11,Pitch_f12,Pitch_f13,Pitch_f14,Yaw_f0,Yaw_f1,Yaw_f2,Yaw_f3,Yaw_f4,Yaw_f5,Yaw_f6,Yaw_f7,Yaw_f8,Yaw_f9,Yaw_f10,Yaw_f11,Yaw_f12,Yaw_f13,Yaw_f14,label
0.33229097123792706,0.32180685779094365,0.2866433132225553,0.30709748268934733,0.3060192704567707,0.3015170977843291,0.31259347548735034,0.29693450997604,0.29876639894828877,0.2943293031721561,0.3170667070667349,0.3137689728275396,0.2703049439524728,0.29706055399797526,0.30967230770178383,1.1889077753271995,1.1526269611126179,1.232849526456667,1.222498801998991,1.1433584131221481,1.1805442887041453,1.1393127668332825,1.1490338257511248,1.1309611360006768,1.1597751273618542,1.1459099204061938,1.1726966670412322,1.149782798661155,1.1577234543671333,1.1408589448826179,-12.87135474071917,-11.665554288172757,-14.205224051458657,-13.058202511846929,-11.788154249949145,-12.37445258079029,-11.204696122150779,-11.332842791325078,-10.20641017943106,-9.490459485089161,-8.468115379290452,-8.857809919260006,-8.606397449981301,-8.345774369390853,-8.389967531254996,-6.031126743776895,-8.767161137420235,-5.252672781506379,-4.72981479076706,-10.162318909976296,-6.565535028539382,-7.601326524399247,-6.9717566862466835,-7.54133735614972,-7.484396498114957,-7.907174125066511,-7.324580053425799,-7.947308148498921,-7.953812783717169,-8.337496815158897,0
0.2996402144501652,0.2903009558576788,0.27183763983431375,0.2958184796519084,0.2850933562642871,0.28992671958935956,0.314737369394399,0.32079765422241313,0.30574502279108073,0.2949319795031193,0.2975875976916651,0.2885295804576053,0.3024701765159802,0.30432621335774923,0.31548394817302294,1.15090010831526,1.1765477266811288,1.1760065068963337,1.1973093219147422,1.1889290285206486,1.1895640011521846,1.1813769814015647,1.2040546255025049,1.1576715761399716,1.0970028343211031,1.0960505189546936,1.0846404602059139,1.0439759921205816,1.104390324618211,1.111107420446011,-3.4779559726319746,-3.991070764572754,-3.4706650797412806,-2.7473998747919666,-3.301123242118763,-3.9517828784725566,-1.81370358581799,-2.8875423364656,-1.754130112430829,-1.104984407055582,-4.109489004557162,-2.714923732584765,-2.6025672104570674,-2.629614456022807,-4.059300008674057,-8.687890271772746,-8.223651824884046,-9.266794139207287,-8.195461763890409,-9.23425251844507,-8.31925056171527,-9.92916516379956,-8.030887338594303,-13.393779584701543,-12.216468099501158,-11.736457133856234,-10.480116020940724,-12.105112095586968,-10.948934033471796,-8.3695711395421,0
0.31157837859001025,0.3162224570095852,0.31148449445544746,0.3106864785834371,0.3242786159280213,0.27305337427473403,0.3112864045571184,0.30533338453150083,0.3037221449446501,0.2958178404491475,0.29280282772804833,0.3015109411661503,0.3004840877843837,0.30235793201825695,0.302041142936021,1.133779224231414,1.1111594818940806,1.109722121345733,1.1184470981986794,1.1670442433059056,1.196124725748778,1.1562635701337236,1.220605713364419,1.133676136479731,1.155684492824684,1.1336265619138644,1.1636143664327825,1.1378218444550037,1.161366297697747,1.155684492824684,-8.681370734432619,-6.990571382899532,-5.940924213681541,-6.411161372863717,-7.175908327658732,-10.707997397165371,-5.395676781316837,-6.565221016783283,-5.571548546074695,-7.675321869223893,-5.945980602756862,-5.999051266458622,-4.989038640807536,-5.782771890371436,-5.173168252785501,-12.024334072182763,-9.925043728802894,-11.534735653252762,-10.893339443187108,-10.146205417006891,-8.706160442445986,-6.496543192473961,-6.164168928286764,-7.686703446550643,-7.691445848478846,-9.093565934371512,-7.988857510482023,-8.51602386714263,-7.923286233010476,-8.207310785268579,0
0.3285343595496274,0.29219813951730106,0.30344594751431764,0.31156352178046604,0.3099690798569167,0.30080629192770725,0.30619052198363206,0.29654050463851445,0.3028501373530733,0.2994305453178684,0.31860813944668853,0.29690535993563183,0.30641724659737435,0.29976166900373025,0.313899067252028,1.1505435929043069,1.151837393545182,1.1672996668479412,1.1756617204697462,1.154684547392358,1.2065760005516035,1.1495101767640592,1.152185948015157,1.1570953973732188,1.1421709769064674,1.163820172883627,1.1747814301215793,1.179721230306907,1.1717359187117262,1.1903624028765605,-2.650142158067183,-3.954739455282578,-3.612613482056588,-3.3049424965298044,-2.5517059369643675,-4.313617047510888,-4.827199906249319,-4.500579628100752,-5.576952038279018,-3.6163748627133714,-3.78737315565823,-3.6793004939227103,-3.139248092125655,-3.430145037517576,-2.6830987344428365,-8.117126201114305,-7.989851423362499,-7.487946677262039,-7.418010137578676,-7.8911350417190835,-5.258698500586465,-7.143166229944753,-7.986474834394543,-7.26189649612418,-8.287927517143238,-7.8733641141715145,-8.033831800863384,-7.977040300394842,-7.4806981411574345,-7.430313227206683,0
0.30094620698022856,0.3082731408786894,0.3245380378267694,0.3141042074711332,0.29324603975857744,0.29862505182409527,0.3030511646376134,0.3103023474463641,0.31941266956110703,0.3212376256405808,0.3086930835419299,0.3147599861885287,0.3197874187163765,0.3157988150925453,0.3121992124485841,1.1713713815484228,1.1810811674870627,1.2706521867304215,1.237617521146442,1.1068883909754244,1.1664788950777711,1.1728731336815486,1.2032433430251368,1.1873855963933866,1.1911993784856172,1.180046875155394,1.167338014359683,1.1941673118973264,1.1905576977617591,1.1804766037405001,-1.6154530563974276,-1.8058526704369626,4.031195152513618,4.97588401479635,-4.952695891413924,-1.9915756033475702,-1.6084211120538328,-1.5815144523756715,-1.3674387993261234,-2.528373212789603,-1.8298484091694718,-1.4643131206098872,-0.71225766058663,-1.2464779838852564,-0.8895012217195699,-7.610422262925122,-7.92539579068265,-0.7798027731500623,-3.242099225891477,-9.456952591942757,-8.024574934166441,-7.672631593702902,-7.3968169801630514,-7.540800800597172,-7.915031806569224,-7.698299168778015,-7.973675142247451,-7.483425020214483,-7.486547108250778,-7.368479155129074,0
0.30212383304732937,0.28987436151755097,0.30362265209016454,0.3629920192981441,0.34056831011160393,0.34562811281947103,0.3141904544835239,0.36077239934995886,0.32679150329841766,0.337747965996698,0.3294482223957639,0.32944047523524556,0.3293805683769593,0.33337359300094804,0.3327241657890191,1.1816896980173361,1.1967657903685023,1.1888074690026207,1.3318002458421982,1.4402987516319403,1.4365593015549794,1.4586200624498102,1.3757056244457249,1.3993161173277768,1.4115985800011805,1.3913584287544167,1.3995717649599662,1.3714661058284636,1.3928569025294035,1.4154086055190456,-0.9960318855326022,-0.5824009782121777,-0.19293579585328757,-7.223633735935408,-8.927043359878525,-6.8174093520285055,-9.585742416591131,-9.982420665226812,-11.769414827571723,-10.82969742735898,-11.022013178697847,-11.31320899076448,-10.299877345075998,-9.914509076679451,-10.223624512232476,-7.164736557393729,-7.6662009976818775,-7.469439078344038,1.799213077218391,5.70070794335007,5.120410689474926,5.944517271086259,7.259947445614589,6.813865080330207,7.048222004129115,6.378875904075173,6.553833071905181,7.2834192443306796,6.19914124166456,5.8891335849897715,0
0.22560982978069305,0.29436947595004154,0.2950028991074487,0.3116680180392587,0.2905088633053384,0.3001163074258874,0.26572029082843035,0.303208030663923,0.27293185388623065,0.2818807504300489,0.28706986375017907,0.29733790487603784,0.3035184431984476,0.28945619953447743,0.2943656975484228,1.1607882725540886,1.1684895044249235,1.168899545820748,1.1920510440246965,1.1572353943501257,1.1672604817431511,1.1607314548758993,1.143984856455814,1.124990873229702,1.1833261973019231,1.155631221858508,1.1461990645812425,1.2085302905186608,1.2275767329637324,1.1672265857282136,-7.98576551037803,-8.27916161369842,-8.412839496387079,-7.607432573403742,-7.722504904372755,-8.52682098176058,-7.0972861536682785,-7.542865079875952,-4.927203064113371,-7.273671340481258,-6.992700891225667,-6.676322129529353,-8.733396774383266,-7.453316708280397,-7.481834734720053,-7.4238023954797425,-7.324986805391991,-7.20457643618582,-6.6698436876997595,-7.705386355820918,-7.221274063234784,-7.863542080877945,-7.436927093544274,-9.987497364440536,-7.060796992561447,-5.935082410970453,-8.316806287115787,-4.23106663248698,-4.170917883868086,-6.621846610948782,0
0.31614676229745364,0.3278854989755997,0.31620148418309413,0.31817727686876307,0.3090183126330599,0.30288095824212213,0.3100325431563944,0.3113339997773344,0.3065612843192919,0.3085076950824861,0.31261543851845863,0.3060787150425502,0.3128694442630909,0.3022783629189796,0.3099969393152101,1.4174437482156452,1.4182625753567648,1.4426970890946427,1.4082165767708932,1.4247741093895083,1.425610783132066,1.4263707278244504,1.4240965934621959,1.4113301863927297,1.4054592035328481,1.4138645353754966,1.4151615387884755,1.4169707157045333,1.3954088956063142,1.4093422392564992,-10.601117854390452,-10.192611664069176,-9.437996034278683,-7.138105106007515,-6.5900130995564155,-6.242687590576281,-5.917302195287846,-6.3089662323246785,-5.941521625613859,-5.940136807024146,-5.221379279481567,-6.051886136602462,-4.861033211318215,-5.381041027495144,-4.681736513736837,5.833048519141405,7.078587102406139,7.181404867366439,5.130903917550635,5.343599767023277,6.050963168825703,6.014601158964154,6.214165837257698,6.047945517839667,6.057423091205964,5.734089117038451,5.550973486434069,5.936608283268693,5.771375718450031,6.1493050570164165,0
0.3098071443840153,0.2985119152659036,0.2956865173782093,0.2973312496657787,0.3025451266938104,0.30608387851807883,0.30029013130051385,0.30964713830562846,0.3020417140990135,0.30982798424727465,0.2971156369532113,0.3072411930531039,0.3079254637770964,0.2981732935102299,0.2941232081912276,1.377261725562071,1.4110925238012568,1.3936983175707482,1.406647629876267,1.4243231135007433,1.4029504555673629,1.4149333012782164,1.4324590371482049,1.4477433612120942,1.4193130550849338,1.4161622662661566,1.463419431906896,1.4639150643936205,1.4308710328215903,1.4082006760173174,-4.973710791567669,-4.6725005274373075,-4.382795237706262,-4.573192303166934,-4.701016378133033,-4.904922383625745,-4.569263432981529,-4.393410051658009,-4.308034205986388,-4.456349223773657,-13.542974425031872,-9.805596294752178,-9.12065506672974,-10.162276380479256,-10.268972951967413,5.80129147417007,5.746785845456224,5.749321524524296,5.948925838709589,6.199882588346359,6.065020462188977,5.902224728865877,6.088584827858758,6.510471908998267,6.168864371469417,3.9974833594676387,6.391924768643637,4.647314527616581,5.798376655235664,4.737336648346756,0
0.2910566041746041,0.28469952793903497,0.28983093833375184,0.3000159683540313,0.28133972261409707,0.28527607069938504,0.2936491123590066,0.29341622869744255,0.20676415678580712,0.3165864299856158,0.2852882802175336,0.25393493095710923,0.2925718482711467,0.2869413497876161,0.28364953301491536,1.5089614650853493,1.4458053666496256,1.486608566433222,1.427175426369441,1.4508380539741226,1.4814800272687472,1.4961329832463872,1.4500413406418546,1.48730103463837,1.4064463837316008,1.495072734388263,1.5015909393547244,1.5010446957191572,1.496871566563405,1.4540826427641644,-9.49214275499034,-9.263968591349169,-8.648878396768282,-8.28794857902406,-8.3677457046918,-7.791743297007258,-7.473727531280076,-6.787839384980941,-7.435586349721291,-8.088540387108793,-7.848848250654811,-6.555117914509879,-6.675349325161164,-6.007693833570954,-7.199446403698744,5.455218244766361,5.470142435827932,5.500053300053109,5.760598767332349,5.81980963518441,6.665570299928259,7.016159579186842,6.751038630497821,7.059229475429378,8.737063114381634,8.411675071038053,9.270827967211291,9.627987360933606,9.392478296199009,8.094231358189033,0
